level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,intervention_control,extracted_portion,lname,Author_pmid
104,102,100,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,30.0,0.0,0.0,34.1,73.8,intervention,SOG,Burguera,Burguera_194696
105,102,100,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,30.0,0.0,0.0,34.1,73.8,intervention,SOG,Burguera,Burguera_194696
106,103,101,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,12.0,0.0,0.0,33.83,79.87,intervention,SOG,Tur,Tur_23163735_a
107,103,101,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,12.0,0.0,0.0,33.83,79.87,intervention,SOG,Tur,Tur_23163735_b
108,104,102,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,12.0,6.0,13.0,26.3,76.60000000000001,intervention,RYGB,Halperin,Halperin_24899464
109,105,103,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,24.0,0.0,0.0,40.6,84.0,control,ILI,Burguera,Burguera_194696_a
110,106,104,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,24.0,0.0,0.0,46.2,84.0,control,COT,Burguera,Burguera_194696_b
111,107,105,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,12.0,20.0,37.0,32.7758,74.4,control,L-RYGB,Eskandaros,Eskandaros_34981324
112,108,106,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,24.0,0.0,0.0,34.4,77.0,intervention,SOG,Burguera,Burguera_194696
113,108,106,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,24.0,0.0,0.0,34.4,77.0,intervention,SOG,Burguera,Burguera_194696
114,109,107,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,24.0,15.0,57.0,33.0,83.0,control,S-GB,Abel,Abel_30471927
115,110,108,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,36.0,20.0,37.0,26.9566,77.25,control,L-RYGB,Eskandaros,Eskandaros_34981324
116,111,109,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,12.0,0.0,0.0,40.15,84.63,control,ILI,Tur,Tur_23163735_a
117,112,110,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,24.0,20.0,37.0,28.3258,73.82,control,L-RYGB,Eskandaros,Eskandaros_34981324
118,113,111,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,12.0,10.0,101.0,35.75,82.8,control,Sham,Sullivan,Sullivan_28000425
119,114,112,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,6.0,3.0,8.0,32.4,70.0,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
120,115,113,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,12.0,0.0,0.0,46.37,85.86,control,COT,Tur,Tur_23163735_b
