level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,lowerboundBMI,upperboundBMI,lowerboundDBP,upperboundDBP,meanDBP_sd,meanBMI_sd,intervention_control,extracted_portion,lname,Author_pmid
62,60,58,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,51.0,Both,3.0,2.0,23.0,38.25,78.6,27.47,49.03,66.09519999999999,91.1048,6.38,5.5,control,SG,Barros,Barros_25919069
63,61,59,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,24.0,13.0,12.0,28.8,79.55,13.512,44.088,46.818,112.282,16.7,7.800000000000001,intervention,RYGB,Wallenius,Wallenius_32540150
64,62,60,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,12.0,5.0,15.0,29.85,75.65,28.709999999999997,31.039999999999996,64.9876,86.31240000000001,5.44,0.5943877551020403,intervention,LMGB-OAGB,Ospanov,Ospanov_33963974_b
65,63,61,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,40.0,Both,12.0,3.0,15.0,37.1,84.5,33.964,40.236000000000004,71.956,97.044,6.4,1.6,control,BAND,Demerdash,Demerdash_12345678
66,64,62,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,40.0,Both,12.0,2.0,14.0,32.0,81.5,26.512,37.488,64.252,98.748,8.8,2.8,intervention,RYGB,Demerdash,Demerdash_12345678
67,65,63,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,12.0,13.0,11.0,31.599999999999998,85.5,15.527999999999999,47.672,28.464000000000002,142.536,29.1,8.2,control,SG,Wallenius,Wallenius_32540150
68,66,64,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,24.0,8.0,23.0,37.5,76.8,36.0,39.1,73.2,80.4,1.8367346938775517,0.7908163265306126,intervention,GB,Søvik,Søvik_21893621
69,67,65,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,1.0,3.0,8.0,40.1,70.0,34.22,45.980000000000004,36.092,103.908,17.3,3.0,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
70,68,66,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,51.0,Both,3.0,2.0,23.0,40.32,82.4,25.816000000000003,54.824,71.03200000000001,93.768,5.8,7.4,intervention,GB,Barros,Barros_25919069
71,69,67,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,24.0,0.0,0.0,36.9,80.3,34.5,39.4,75.2,84.9,2.4744897959183683,1.2499999999999996,intervention,DJBL,Caiazzo,Caiazzo_32889869
72,70,68,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,12.0,0.0,0.0,34.6,73.4,32.8,36.3,69.4,77.5,2.0663265306122436,0.8928571428571429,intervention,DJBL,Caiazzo,Caiazzo_32889869
73,71,69,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,24.0,13.0,11.0,32.4,85.8,15.935999999999996,48.864,33.07600000000001,138.524,26.9,8.399999999999999,control,SG,Wallenius,Wallenius_32540150
74,72,70,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,12.0,1.0,10.0,30.7,76.6,23.252,38.147999999999996,59.547999999999995,93.65199999999999,8.7,3.8,intervention,LRYGB,Herrera,Herrera_20587720
75,73,71,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,12.0,8.0,23.0,37.0,79.3,35.8,38.2,76.3,82.2,1.505102040816328,0.6122448979591851,intervention,GB,Søvik,Søvik_21893621
76,74,72,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,12.0,2.0,18.0,27.74,74.55,25.740000000000006,29.75,62.4764,86.6236,6.16,1.022959183673468,intervention,LOAGB-OSPAN,Ospanov,Ospanov_33963974_a
77,75,73,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,12.0,0.0,0.0,37.2,78.6,34.6,39.8,74.1,83.0,2.2704081632653077,1.326530612244897,control,MT,Caiazzo,Caiazzo_32889869
78,76,74,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,48.0,15.0,57.0,34.0,89.0,22.240000000000002,45.76,57.64,120.36,16.0,6.0,control,S-GB,Abel,Abel_30471927
79,77,75,32805133,10.7326/M19-3781,Carlos A Schiavon,2020,EUR,100.0,Both,36.0,15.0,35.0,36.4,79.3,35.3,37.4,76.0,82.6,1.6836734693877538,0.535714285714286,control,MT,Schiavon,Schiavon_32805133
80,78,76,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,24.0,0.0,0.0,36.8,75.9,33.6,40.0,69.4,82.4,3.316326530612245,1.6326530612244894,control,MT,Caiazzo,Caiazzo_32889869
81,79,77,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,38.0,Male,6.0,17.0,0.0,39.1,80.0,22.832,55.368,40.8,119.2,20.0,8.3,control,DTG,Iosif,Iosif_1234567
82,80,78,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,6.0,10.0,101.0,34.760000000000005,81.47,0.0,0.0,0.0,0.0,0.0,0.0,control,Sham,Sullivan,Sullivan_28000425
83,81,79,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,6.0,26.0,195.0,33.56,79.53,0.0,0.0,0.0,0.0,0.0,0.0,intervention,POSE,Sullivan,Sullivan_28000425
84,82,80,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,38.0,Male,6.0,19.0,0.0,29.3,82.0,24.89,33.71,56.519999999999996,107.48,13.0,2.25,intervention,LSG,Iosif,Iosif_1234567
85,83,81,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,12.0,10.0,19.0,30.6,82.2,29.3,31.9,79.1,85.3,1.5816326530612252,0.6632653061224485,control,DS,Søvik,Søvik_21893621
86,84,82,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,12.0,9.0,10.0,34.1,74.5,26.836,41.364000000000004,54.05199999999999,95.048,10.458163265306125,3.706122448979593,control,WhyWAIT,Halperin,Halperin_24899464
87,85,83,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,6.0,1.0,10.0,33.2,81.3,26.144000000000002,40.256,68.756,93.844,6.4,3.6,intervention,LRYGB,Herrera,Herrera_20587720
88,86,84,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,24.0,10.0,19.0,30.1,77.4,28.5,31.7,73.6,81.1,1.913265306122449,0.8163265306122447,control,DS,Søvik,Søvik_21893621
89,87,85,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,12.0,26.0,195.0,34.31,80.89,0.0,0.0,0.0,0.0,0.0,0.0,intervention,POSE,Sullivan,Sullivan_28000425
90,88,86,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,30.0,0.0,0.0,46.4,81.6,36.403999999999996,56.396,60.628,102.57199999999999,10.7,5.1,control,COT,Burguera,Burguera_194696_b
91,89,87,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,30.0,0.0,0.0,39.6,84.2,29.604000000000003,49.596000000000004,64.208,104.19200000000001,10.2,5.1,control,ILI,Burguera,Burguera_194696_a
92,90,88,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,3.0,1.0,10.0,36.2,75.0,28.752000000000002,43.648,61.084,88.916,7.1,3.8,intervention,LRYGB,Herrera,Herrera_20587720
93,91,89,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,100.0,Both,12.0,9.0,41.0,26.8,77.0,19.548000000000002,34.052,58.576,95.424,9.4,3.7,intervention,RYGBplusMT,Schiavon,Schiavon_29133606
94,92,90,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,36.0,22.0,42.0,30.1143,74.56,24.481848,35.746752,54.76204,94.35796,10.101,2.8737,intervention,S-RYGB,Eskandaros,Eskandaros_34981324
95,93,91,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,24.0,22.0,42.0,31.5977,74.91,26.559128,36.636272,57.33076,92.48924,8.969,2.5707,intervention,S-RYGB,Eskandaros,Eskandaros_34981324
96,94,92,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,1.0,1.0,10.0,40.0,76.7,32.356,47.644,46.712,106.688,15.3,3.9,intervention,LRYGB,Herrera,Herrera_20587720
